,tokenized_text,label,split
37,"[101, 2748, 1011, 2572, 5204, 1997, 2540, 18900, 2232, 2820, 1005, 1055, 2147, 102]",5,pseudo
38,"[101, 3442, 2041, 1997, 1037, 16231, 8766, 24203, 16535, 8789, 3959, 102]",5,pseudo
39,"[101, 10822, 8039, 3796, 24925, 2078, 2208, 5826, 2007, 2942, 102]",5,pseudo
40,"[101, 1045, 2052, 3422, 1996, 6616, 2041, 1997, 2023, 2339, 3475, 1005, 1056, 2009, 2006, 2694, 102]",5,pseudo
41,"[101, 4214, 2035, 11721, 2497, 23307, 2015, 1012, 1012, 1012, 2292, 1005, 1055, 3857, 1037, 1011, 3931, 10439, 2008, 1051, 4887, 26830, 2630, 4743, 2897, 3972, 12870, 2015, 2035, 2115, 1056, 28394, 3215, 1999, 1037, 11562, 2059, 2758, 3713, 10350, 1011, 11721, 2497, 1012, 9932, 2006, 13964, 3931, 1012, 1045, 2071, 3857, 1999, 2847, 3087, 10587, 20578, 2006, 15168, 1046, 2015, 2362, 102]",3,pseudo
42,"[101, 2272, 2718, 5886, 2026, 7163, 2239, 2115, 3040, 10272, 5644, 14992, 102]",5,pseudo
43,"[101, 2359, 2000, 2292, 2017, 2113, 2055, 2019, 9706, 2005, 2115, 3042, 2008, 3065, 2270, 3182, 2007, 1998, 2030, 2119, 5751, 6866, 1012, 2200, 6179, 2005, 2224, 2667, 2047, 7884, 1999, 2256, 2181, 5198, 12040, 14409, 1012, 3146, 1012, 4012, 1998, 2006, 8224, 13068, 102]",5,pseudo
44,"[101, 25755, 2072, 2011, 2151, 2965, 2825, 2059, 10825, 2033, 2025, 2000, 3942, 2885, 2151, 2051, 2574, 102]",5,pseudo
45,"[101, 5791, 2025, 2026, 2452, 1997, 5572, 1012, 102]",5,pseudo
46,"[101, 2065, 2017, 2052, 2025, 2022, 6404, 2004, 2574, 2004, 2017, 2024, 2757, 1998, 11083, 2593, 4339, 2242, 4276, 3752, 2030, 2079, 2477, 4276, 1996, 3015, 1012, 6425, 5951, 102]",5,pseudo
47,"[101, 8398, 6793, 2022, 2066, 102]",5,pseudo
48,"[101, 6360, 1045, 2211, 2000, 5223, 2068, 1012, 1012, 1012, 1012, 102]",5,pseudo
49,"[101, 2748, 2004, 2057, 2131, 3553, 2000, 2256, 3864, 1999, 1996, 3915, 1012, 1037, 2307, 3066, 1997, 4808, 2097, 4148, 1012, 1045, 2064, 2069, 2562, 2006, 5432, 2256, 8398, 15608, 1012, 2190, 8996, 4754, 1012, 1012, 1012, 1012, 102]",5,pseudo
50,"[101, 2023, 3124, 2003, 2019, 8750, 3422, 2121, 2205, 1998, 12728, 1059, 24475, 4246, 4246, 102]",5,pseudo
51,"[101, 4549, 6056, 7566, 8246, 2071, 2023, 9495, 1037, 2047, 3789, 2008, 5927, 26189, 2615, 5114, 2373, 2044, 2035, 102]",5,pseudo
52,"[101, 3398, 1012, 2130, 2182, 2017, 2064, 2175, 2661, 1998, 2025, 3305, 12455, 2823, 1012, 8840, 2140, 102]",5,pseudo
53,"[101, 1996, 2024, 2048, 1997, 1996, 2168, 2785, 2079, 2017, 2342, 2033, 2000, 4009, 2017, 1037, 16403, 8307, 3413, 2033, 1037, 2304, 6277, 102]",5,pseudo
54,"[101, 8268, 3422, 2054, 2001, 26774, 1005, 1055, 2535, 1999, 1996, 25760, 9446, 102]",5,pseudo
55,"[101, 1996, 6900, 2006, 10210, 2102, 19615, 102]",5,pseudo
56,"[101, 2091, 2007, 4071, 2091, 2007, 4071, 102]",5,pseudo
57,"[101, 1037, 2338, 2517, 2011, 8037, 1012, 1996, 2785, 1997, 2111, 2040, 5223, 2637, 1998, 2052, 6181, 2140, 2076, 1996, 2652, 1997, 2256, 2120, 11971, 1012, 102]",5,pseudo
58,"[101, 2106, 2017, 2507, 2039, 2515, 2008, 2812, 4441, 5222, 4067, 2017, 4441, 2005, 14891, 2102, 1012, 19994, 2032, 2935, 2265, 2032, 2115, 2293, 1012, 2572, 2368, 102]",5,pseudo
59,"[101, 19597, 3531, 2057, 2035, 2228, 2009, 2164, 2035, 1996, 5390, 3676, 20536, 2006, 1996, 2187, 2085, 3402, 1999, 2293, 2007, 2122, 3032, 2027, 1005, 2128, 4485, 19990, 2057, 2196, 2215, 2000, 2424, 9731, 1999, 1012, 8398, 1005, 1055, 16718, 2003, 2061, 27150, 1012, 102]",3,pseudo
60,"[101, 2043, 2619, 2941, 6732, 2023, 1011, 3373, 2008, 2108, 5637, 2052, 2022, 2625, 8552, 2021, 4821, 2787, 2114, 2009, 1012, 2017, 1005, 2128, 5637, 1012, 20057, 1998, 1037, 9792, 5637, 1012, 102]",2,pseudo
61,"[101, 1997, 1998, 2582, 2052, 1996, 5622, 5910, 2031, 2628, 1996, 2742, 2275, 2011, 1996, 3803, 2030, 1996, 2742, 2179, 1999, 1996, 5499, 3218, 1997, 3932, 16431, 1998, 3499, 7327, 21604, 15396, 2005, 2019, 5665, 2030, 1037, 13460, 8462, 1061, 2099, 1012, 2214, 102]",5,pseudo
62,"[101, 16110, 1996, 2585, 3804, 2265, 2928, 8902, 20897, 102]",5,pseudo
63,"[101, 1999, 3141, 2739, 1012, 1012, 1012, 26480, 2308, 9991, 4580, 1998, 2014, 19154, 1005, 2097, 2196, 2903, 2178, 2611, 2373, 2839, 2027, 2156, 1999, 1996, 5691, 1998, 2006, 2694, 1012, 102]",2,pseudo
64,"[101, 5977, 11867, 28775, 2121, 2013, 2085, 2006, 2256, 3233, 7514, 2000, 2151, 3980, 1045, 2123, 1005, 1056, 2113, 6972, 8997, 2056, 2009, 2001, 10303, 102]",5,pseudo
65,"[101, 4593, 1045, 2323, 2050, 20427, 2026, 3607, 2106, 2009, 28844, 2100, 27263, 2004, 2739, 2025, 8562, 1012, 102]",5,pseudo
66,"[101, 2145, 17704, 2524, 2000, 2903, 2129, 14180, 2039, 2122, 4364, 2024, 6396, 2102, 6398, 4491, 8398, 2005, 4352, 1011, 2095, 1011, 2214, 2879, 2000, 9587, 2860, 1059, 2232, 10168, 1005, 10255, 2919, 4742, 2005, 2775, 4450, 1005, 102]",3,pseudo
67,"[101, 9389, 10020, 2444, 1999, 8117, 2015, 102]",5,pseudo
68,"[101, 2852, 1012, 4811, 3236, 1999, 2178, 4682, 2758, 2014, 2767, 5225, 2014, 2188, 2021, 2016, 2347, 1056, 1997, 2287, 2000, 3298, 1998, 3631, 1996, 2375, 2065, 2016, 2106, 102]",3,pseudo
69,"[101, 2866, 11514, 3360, 2177, 18989, 8398, 1011, 25325, 5657, 2191, 3725, 2307, 2153, 16717, 102]",5,pseudo
70,"[101, 2358, 4430, 2361, 2009, 1012, 102]",5,pseudo
71,"[101, 1045, 2514, 5236, 2085, 2031, 1037, 3835, 2154, 2205, 102]",5,pseudo
72,"[101, 2053, 2616, 4072, 102]",5,pseudo
73,"[101, 1999, 2553, 2017, 2024, 4699, 11794, 2003, 2145, 2757, 1012, 102]",5,pseudo
74,"[101, 15736, 2015, 5496, 1997, 9422, 3788, 2041, 2006, 4825, 3021, 1011, 2980, 13704, 2638, 9333, 1012, 4012, 1054, 102]",5,pseudo
75,"[101, 14603, 5611, 13420, 4584, 2020, 11273, 2012, 2149, 14562, 2058, 17271, 1011, 2335, 1997, 3956, 2980, 13704, 2638, 9333, 1012, 4012, 1054, 102]",5,pseudo
76,"[101, 11324, 5130, 6449, 2027, 2024, 4288, 1045, 2113, 2009, 1055, 4028, 2013, 1996, 2927, 1012, 2057, 2113, 2008, 2009, 2003, 4288, 1012, 2108, 6875, 2965, 2045, 2003, 1037, 3336, 3652, 2503, 1997, 1037, 2450, 1037, 3336, 3005, 2166, 2003, 3092, 1012, 102]",2,pseudo
77,"[101, 1045, 2001, 9962, 2005, 1996, 10514, 9397, 19234, 2015, 2465, 2021, 2052, 2031, 2763, 9078, 2094, 2009, 1012, 1046, 2026, 25380, 1997, 2607, 2053, 7386, 3832, 2012, 2035, 2000, 2593, 1997, 2017, 1012, 26690, 2041, 1997, 1996, 2282, 11601, 4818, 2135, 1012, 102]",5,pseudo
78,"[101, 3342, 1996, 26234, 2080, 2065, 1996, 5622, 5910, 2131, 2037, 2126, 1012, 1012, 1012, 1012, 2008, 1005, 1055, 1996, 2069, 2518, 2008, 2097, 2022, 2187, 1011, 1037, 6802, 3638, 2009, 2003, 2028, 1997, 1996, 10490, 2006, 2037, 2862, 2000, 6033, 1012, 1012, 1012, 2023, 4485, 2180, 1005, 1056, 2203, 2127, 2057, 2024, 1037, 16428, 2088, 2406, 102]",3,pseudo
79,"[101, 2087, 22064, 2080, 3650, 2024, 2920, 1999, 2070, 2126, 8556, 9915, 24004, 14870, 6201, 102]",5,pseudo
80,"[101, 2017, 1005, 1040, 2424, 7167, 1997, 2814, 2045, 1011, 2175, 2005, 2009, 102]",5,pseudo
81,"[101, 2065, 2017, 2444, 2030, 2147, 1999, 27084, 2389, 5938, 2769, 1999, 4203, 9617, 6753, 2023, 4203, 9617, 4494, 2000, 28887, 8398, 1005, 1055, 3237, 4506, 2006, 7489, 8493, 3655, 102]",5,pseudo
82,"[101, 3040, 4003, 2323, 2022, 4096, 1996, 6658, 3040, 4003, 13009, 2069, 2252, 102]",5,pseudo
83,"[101, 2062, 2831, 2055, 1996, 4028, 1997, 6838, 6157, 2011, 1996, 2866, 2231, 102]",5,pseudo
84,"[101, 2045, 2003, 2242, 4326, 2055, 1996, 21475, 4580, 102]",5,pseudo
85,"[101, 3341, 2935, 2003, 2054, 8560, 3238, 3393, 25057, 2015, 2655, 2111, 2007, 2844, 20488, 2000, 4130, 12898, 5856, 4371, 2068, 2061, 2027, 2064, 2514, 2488, 2055, 2037, 2219, 11809, 2791, 1012, 102]",3,pseudo
86,"[101, 2175, 2185, 2017, 12731, 3600, 1012, 102]",5,pseudo
87,"[101, 8040, 2819, 2066, 22715, 28514, 2175, 21724, 2100, 1012, 4575, 1998, 2500, 2024, 10320, 2006, 26774, 2061, 2027, 2064, 17727, 5243, 2818, 8398, 1012, 102]",5,pseudo
88,"[101, 2065, 1996, 2313, 2542, 1999, 1996, 2181, 2003, 2353, 11108, 2111, 1996, 2181, 2993, 2097, 2022, 2353, 11108, 1012, 2111, 2007, 2353, 11108, 4761, 1012, 2009, 3084, 2053, 4489, 2065, 2027, 2024, 2117, 2030, 2809, 4245, 2030, 3649, 1012, 2009, 2003, 1996, 9165, 1012, 1012, 1012, 102]",2,pseudo
89,"[101, 2343, 8398, 3764, 2044, 1996, 2142, 2163, 3344, 2041, 1037, 7421, 2886, 1999, 7795, 102]",5,pseudo
90,"[101, 19424, 11228, 3286, 16835, 1011, 6153, 13307, 3216, 3784, 8554, 2006, 1005, 2129, 2116, 5181, 2020, 2730, 1005, 1999, 11513, 1011, 1996, 2940, 2980, 13704, 2638, 9333, 1012, 4012, 1054, 102]",5,pseudo
91,"[101, 2126, 2000, 2175, 8448, 3790, 6335, 2604, 1997, 7400, 10285, 15511, 14870, 4862, 25655, 18448, 2015, 2191, 1998, 2689, 4277, 2012, 2115, 1059, 14341, 3582, 1996, 22064, 2080, 12005, 16774, 2565, 1998, 4942, 16874, 1996, 2149, 1998, 2149, 4552, 102]",5,pseudo
92,"[101, 4717, 2483, 2359, 2000, 4894, 4238, 1999, 18695, 2005, 4288, 2149, 3629, 8112, 6380, 2032, 3191, 2062, 2182, 102]",5,pseudo
93,"[101, 2093, 2980, 2015, 1998, 1037, 26046, 1012, 2092, 1996, 2510, 12778, 1037, 2843, 2488, 2084, 24547, 22345, 2188, 8470, 19734, 20009, 2015, 4385, 1012, 4606, 1996, 2510, 2038, 1037, 2488, 5770, 7427, 1998, 2566, 5705, 2205, 1012, 8100, 1996, 10975, 1005, 1055, 2215, 2006, 1996, 24665, 11431, 2100, 3345, 1012, 102]",5,pseudo
94,"[101, 3422, 1011, 1011, 28144, 2015, 3187, 6149, 2015, 2865, 1005, 1055, 3658, 5747, 8112, 1005, 2035, 5459, 2945, 1005, 2012, 3675, 7987, 20175, 8237, 2102, 3081, 102]",5,pseudo
95,"[101, 2057, 2031, 8817, 1997, 2111, 2040, 15391, 7025, 1998, 2157, 2135, 2061, 1012, 2045, 2024, 6981, 1999, 1996, 12849, 5521, 2029, 16021, 18300, 8771, 1997, 7025, 2000, 3102, 2068, 2004, 1999, 20740, 4877, 1998, 2000, 2735, 2037, 10403, 1998, 5727, 5208, 2000, 3348, 7179, 1012, 102]",3,pseudo
96,"[101, 2005, 1996, 13418, 3160, 2339, 2003, 2023, 1999, 1996, 2671, 4696, 11507, 13675, 27605, 21020, 6825, 12795, 21111, 23479, 102]",5,pseudo
97,"[101, 10474, 2015, 2288, 2070, 3314, 102]",5,pseudo
98,"[101, 2599, 2149, 3040, 102]",5,pseudo
99,"[101, 2062, 2084, 2454, 2308, 3335, 2147, 2005, 102]",2,pseudo
100,"[101, 2851, 3419, 2031, 1037, 2307, 2154, 102]",5,pseudo
101,"[101, 8295, 2009, 1998, 1045, 2572, 1999, 1996, 2866, 102]",5,pseudo
102,"[101, 2025, 2428, 3849, 2172, 2062, 2066, 1037, 24694, 1012, 1012, 1012, 102]",5,pseudo
103,"[101, 2045, 2038, 2025, 2042, 2028, 2715, 3842, 2008, 2038, 2699, 4012, 27084, 2008, 2001, 3039, 2000, 7554, 3973, 4503, 1012, 2025, 2028, 1012, 2027, 2031, 2035, 2042, 4600, 28976, 2007, 2011, 2648, 2749, 1012, 102]",5,pseudo
104,"[101, 18520, 7207, 2014, 2219, 22028, 7487, 2008, 2016, 1055, 5905, 1997, 14052, 102]",3,pseudo
105,"[101, 2009, 2003, 2051, 2000, 12475, 1996, 11963, 2428, 2009, 2003, 2051, 2005, 1996, 15544, 3630, 1005, 1055, 2000, 2175, 8398, 2003, 2108, 2192, 10841, 15388, 2000, 1996, 3795, 2923, 3698, 1998, 2009, 1005, 1055, 11920, 2032, 2104, 1012, 102]",5,pseudo
106,"[101, 5875, 2003, 3243, 1037, 16784, 2039, 2030, 1037, 16784, 2091, 1012, 1045, 1005, 1049, 5457, 1012, 8840, 2140, 2672, 2065, 1045, 5587, 26831, 2015, 1012, 2065, 1045, 2020, 1037, 15488, 3126, 7959, 4674, 1012, 1012, 1012, 102]",5,pseudo
107,"[101, 24501, 19894, 2075, 2005, 1996, 4748, 1012, 2009, 2323, 2022, 3659, 1998, 2334, 5084, 2408, 1996, 9983, 1012, 102]",5,pseudo
108,"[101, 2061, 2017, 2024, 1037, 5637, 5622, 19279, 4232, 1012, 1012, 1037, 18520, 17490, 5558, 2497, 1012, 1012, 1012, 1012, 4438, 2054, 2079, 2027, 3477, 2017, 2017, 2288, 2000, 2022, 2013, 2030, 2070, 2350, 2897, 2739, 13307, 1012, 2053, 2028, 2006, 1996, 2157, 2003, 2066, 2017, 2021, 5622, 19279, 18117, 1012, 1012, 102]",3,pseudo
109,"[101, 2061, 2200, 2995, 1012, 2292, 3088, 9611, 2049, 2219, 3471, 1012, 2008, 2323, 2022, 4569, 2000, 3422, 1012, 102]",5,pseudo
110,"[101, 2047, 2011, 2033, 2012, 1996, 2817, 5325, 2012, 11721, 28550, 2140, 1005, 1055, 4796, 1011, 102]",5,pseudo
111,"[101, 5292, 3270, 3398, 1012, 1045, 1005, 2222, 2655, 2009, 4357, 2007, 15511, 22822, 2239, 102]",5,pseudo
112,"[101, 2043, 1037, 2158, 25126, 2007, 1037, 2512, 1011, 2137, 2512, 1011, 2530, 2450, 2002, 1005, 1055, 1037, 3348, 7538, 1012, 2043, 1037, 2450, 25126, 2007, 1037, 2512, 1011, 2137, 2512, 1011, 2530, 2158, 2016, 1005, 1055, 4531, 2841, 1012, 102]",2,pseudo
113,"[101, 1045, 3342, 5613, 2000, 2023, 2007, 6775, 1998, 20065, 2408, 1996, 2358, 11721, 26291, 2378, 2012, 2149, 102]",5,pseudo
114,"[101, 2043, 1996, 11076, 2003, 2440, 1997, 1996, 3961, 17328, 2015, 2668, 2059, 2028, 2064, 2069, 2022, 1999, 1037, 2110, 1997, 16729, 102]",5,pseudo
115,"[101, 20976, 2021, 2182, 102]",5,pseudo
116,"[101, 2057, 1005, 2222, 2014, 2065, 2016, 2515, 102]",3,pseudo
117,"[101, 12098, 2361, 15768, 5166, 3066, 8398, 2015, 7700, 5762, 3806, 7138, 2075, 102]",5,pseudo
118,"[101, 3308, 15222, 8950, 2557, 2006, 7858, 2097, 2022, 2183, 2444, 11501, 9765, 1012, 2027, 2024, 2085, 2635, 2655, 16021, 2323, 2022, 1037, 2307, 2265, 1012, 3531, 3693, 2149, 1012, 102]",3,pseudo
119,"[101, 1045, 6814, 2008, 2003, 2019, 4522, 2205, 102]",5,pseudo
120,"[101, 2292, 1996, 11537, 1997, 1996, 7207, 4126, 2155, 4088, 102]",5,pseudo
121,"[101, 5924, 17615, 2845, 8645, 2485, 2000, 2343, 102]",5,pseudo
122,"[101, 4067, 2017, 2005, 1996, 5254, 102]",5,pseudo
123,"[101, 2064, 1005, 1056, 3796, 4485, 2017, 12731, 3600, 7743, 102]",5,pseudo
124,"[101, 11155, 8398, 8917, 3361, 2708, 4942, 6873, 8189, 2098, 2000, 19919, 1999, 9946, 2553, 3189, 102]",5,pseudo
125,"[101, 20277, 1045, 4687, 2073, 2017, 2288, 2115, 24664, 16643, 2791, 2013, 1012, 1012, 1012, 1012, 1012, 102]",5,pseudo
126,"[101, 2092, 1996, 2190, 2057, 2064, 2079, 2003, 8568, 1996, 2717, 1997, 2554, 1998, 7323, 2502, 3151, 2945, 1012, 2599, 2011, 2742, 1012, 2348, 2044, 1996, 16215, 2210, 22889, 11431, 1045, 1005, 2222, 2763, 24986, 2202, 2039, 3221, 18468, 2004, 2019, 4522, 102]",3,pseudo
127,"[101, 6343, 14977, 2005, 1996, 2450, 1999, 2308, 2468, 21955, 2005, 14974, 1012, 2069, 1037, 2450, 2003, 4895, 5714, 19811, 2011, 2009, 2016, 17210, 2000, 3745, 1996, 6322, 102]",2,pseudo
128,"[101, 2651, 2026, 6513, 1998, 1045, 3530, 2008, 2009, 1005, 1040, 2022, 2307, 2065, 2069, 2256, 2406, 2018, 2256, 2544, 1997, 2000, 2689, 2477, 2005, 1996, 2488, 1012, 1037, 8667, 3959, 2030, 2019, 9523, 3012, 102]",3,pseudo
129,"[101, 15501, 1045, 2031, 2000, 2079, 2008, 2000, 1037, 2843, 1997, 4007, 1012, 2087, 2111, 2215, 2000, 3543, 1998, 17186, 2085, 1011, 1037, 1011, 2420, 1012, 1045, 1005, 2222, 1045, 2079, 2003, 3543, 1998, 2391, 1012, 2467, 2398, 1011, 2006, 1012, 102]",5,pseudo
130,"[101, 2108, 13200, 1999, 2143, 2557, 1998, 2547, 28101, 2015, 2031, 2042, 3395, 2000, 4167, 28556, 2075, 2936, 2084, 2471, 2151, 2060, 3842, 1012, 102]",5,pseudo
131,"[101, 2058, 6206, 12114, 4727, 2005, 1996, 4424, 6101, 2006, 2336, 1999, 2167, 3792, 2894, 102]",3,pseudo
132,"[101, 16110, 4514, 23934, 2957, 7084, 4357, 102]",5,pseudo
133,"[101, 2065, 2017, 1005, 2310, 2042, 4527, 2011, 2505, 1999, 2017, 4694, 1005, 1056, 7079, 3086, 1999, 1012, 2074, 3524, 2127, 2017, 2131, 1037, 5510, 1997, 1996, 4485, 19718, 2008, 2003, 2746, 2256, 2126, 1999, 1012, 1012, 1012, 102]",5,pseudo
134,"[101, 3424, 1011, 16498, 2177, 4080, 12267, 2819, 2011, 2521, 2190, 4018, 1999, 6183, 2256, 6208, 4432, 3081, 102]",5,pseudo
135,"[101, 6057, 2518, 1045, 2031, 2196, 2464, 2008, 1999, 1996, 6331, 1012, 5171, 3653, 13012, 29325, 1012, 2437, 2477, 2039, 2004, 2027, 2175, 1012, 102]",5,pseudo
136,"[101, 6616, 2033, 102]",5,pseudo
